"","PLAYER","FIELD_GOALS_MADE","FIELD_GOALS_ATT","FREE_THROWS_MADE","FREE_THROWS_ATT","TOTAL_POINTS","OFFENSIVE_REBOUNDS","DEFENSIVE_REBOUNDS","REBOUNDS","ASSISTS","PERSONAL_FOULS","DISQUALIFICATIONS","STEALS","TURNOVERS","BLOCKED_SHOTS","THREE_POINT_MADE","THREE_POINT_ATT","PLUS_MINUS","TWO_POINT_MADE","TWO_POINT_ATT","POSITION","MINUTES_PLAYED","FGPCNT","THREEPCNT","FTPCNT","AST2TRNVR","eFGPCNT","TSPCNT","FTAPERFGA","ORBPCNT","DRBPCNT","TRBPCNT","ASTPCNT","STLPCNT","BLKPCNT","TOVPCNT","USGPCNT"
"11","Alex Len",5.22197802197802,12.3428571428571,3.44175824175824,4.72747252747253,13.9054945054945,3.52087912087912,8.22857142857143,11.7494505494506,1.91868131868132,4.54945054945055,0.0593406593406593,0.751648351648352,2.86813186813187,1.22637362637363,0.0197802197802198,0.138461538461538,-5.6967032967033,5.2021978021978,12.2043956043956,"C",22.1951219512195,0.423076923076923,0.142857142857143,0.728033472803347,0.668965517241379,0.423878205128205,0.482,0.00383,0.104,0.254,0.177,0.085,0.01,0.028,0.166,0.204
"12","Alex Stepheson",4.5,13.5,2,6,11,9.5,4.5,14,1,6,0.5,0.5,0,2.5,0,0,-1,4.5,13.5,"PF",4.5,0.333333333333333,0,0.333333333333333,1,0.333333333333333,0.341,0.00444,0.285,0.145,0.218,0.043,0.007,0.06,0,0.198
"13","Alexis Ajinca",6.25724217844728,13.1402085747393,2.16917728852839,2.58632676709154,14.6836616454229,3.12862108922364,8.09269988412515,11.2213209733488,1.29316338354577,5.58980301274623,0,0.792584009269989,2.25260718424102,1.50173812282735,0,0.0417149478563152,-2.71147161066049,6.25724217844728,13.098493626883,"C",10.5243902439024,0.476190476190476,0,0.838709677419355,0.574074074074074,0.476190476190476,0.514,0.00197,0.093,0.259,0.173,0.058,0.011,0.034,0.136,0.204
"14","Allen Crabbe",5.30364756039792,11.5622927522501,1.671245855045,1.92704879204169,14.1885362387494,0.460445286594031,3.22311700615822,3.68356229275225,1.68829938417811,3.27427759355756,0.0341070582662245,1.07437233538607,1.09142586451919,0.272856466129796,1.90999526290857,4.860255802937,0.716248223590715,3.39365229748934,6.70203694931312,"SG",25.7439024390244,0.458702064896755,0.392982456140351,0.867256637168142,1.546875,0.541297935103245,0.572,0.00167,0.014,0.097,0.056,0.072,0.015,0.006,0.081,0.164
"15","Alonzo Gee",2.90998162890386,5.62155541947336,0.969993876301286,1.45499081445193,7.16472749540723,1.32271892222903,4.0783833435395,5.40110226576852,1.58726270667483,3.72565829761176,0.0440906307409675,1.38885486834048,1.21249234537661,0.286589099816289,0.374770361298224,1.32271892222903,-4.29883649724434,2.53521126760563,4.29883649724434,"SF",19.9146341463415,0.517647058823529,0.283333333333333,0.666666666666667,1.30909090909091,0.550980392156863,0.572,0.00259,0.039,0.13,0.083,0.062,0.019,0.007,0.162,0.092
"16","Amar'e Stoudemire",5.88235294117647,10.4,2.35294117647059,3.15294117647059,14.1176470588235,3.05882352941176,7.38823529411765,10.4470588235294,1.27058823529412,4.32941176470588,0,0.847058823529412,2.21176470588235,1.92941176470588,0,0,0.423529411764706,5.88235294117647,10.4,"C",9.32926829268293,0.565610859728507,0,0.746268656716418,0.574468085106383,0.565610859728507,0.599,0.00303,0.1,0.226,0.165,0.056,0.012,0.041,0.158,0.178
"17","Amir Johnson",4.98553948832036,8.52947719688543,1.38153503893215,2.42269187986652,11.5528364849833,3.56395995550612,6.54727474972191,10.111234705228,2.76307007786429,4.28476084538376,0.0200222469410456,1.04115684093437,1.88209121245829,1.66184649610679,0.200222469410456,0.860956618464961,2.76307007786429,4.7853170189099,7.66852057842047,"PF",21.9268292682927,0.584507042253521,0.232558139534884,0.570247933884298,1.46808510638298,0.596244131455399,0.602,0.00284,0.103,0.196,0.149,0.114,0.014,0.036,0.164,0.136
"18","Anderson Varejao",3.86234817813765,9.03643724696356,2.33198380566802,3.64372469635628,10.0566801619433,2.69635627530364,7.57894736842105,10.2753036437247,2.55060728744939,5.10121457489879,0,1.16599190283401,1.60323886639676,0.728744939271255,0,0.0728744939271255,1.67611336032389,3.86234817813765,8.96356275303644,"C",6.175,0.42741935483871,0,0.64,1.59090909090909,0.42741935483871,0.473,0.00403,0.085,0.228,0.158,0.098,0.016,0.016,0.131,0.15
"19","Andre Drummond",7.45945945945946,14.3243243243243,2.81081081081081,7.91891891891892,17.7567567567568,5.33783783783784,10.8513513513514,16.1891891891892,0.905405405405405,3.31081081081081,0.027027027027027,1.60810810810811,2.09459459459459,1.51351351351351,0.027027027027027,0.0810810810810811,1.71621621621622,7.43243243243243,14.2432432432432,"C",32.4878048780488,0.520754716981132,0.333333333333333,0.354948805460751,0.432258064516129,0.521698113207547,0.499,0.00553,0.156,0.342,0.245,0.044,0.023,0.032,0.105,0.241
"20","Andre Iguodala",3.64976958525346,7.63133640552995,1.05760368663594,1.72119815668203,9.47695852534562,1.07834101382488,4.37557603686636,5.45391705069124,4.54147465437788,2.11520737327189,0,1.51382488479263,1.63824884792627,0.394009216589862,1.11981566820276,3.19354838709677,9.47695852534562,2.52995391705069,4.43778801843318,"SF",21.1707317073171,0.478260869565217,0.350649350649351,0.614457831325301,2.77215189873418,0.551630434782609,0.565,0.00226,0.034,0.124,0.082,0.163,0.02,0.008,0.163,0.121
"21","Andre Miller",4.5974025974026,8.25974025974026,1.87012987012987,2.49350649350649,11.2207792207792,0.935064935064935,3.03896103896104,3.97402597402597,6.77922077922078,3.58441558441558,0,1.24675324675325,2.88311688311688,0,0.155844155844156,0.623376623376623,2.25974025974026,4.44155844155844,7.63636363636364,"PG",5.7037037037037,0.556603773584906,0.25,0.75,2.35135135135135,0.566037735849057,0.6,0.00302,0.031,0.095,0.064,0.283,0.018,0,0.236,0.154
"22","Andre Roberson",3.15463917525773,6.35567010309278,0.765463917525773,1.25257731958763,7.81701030927835,1.83247422680412,3.98969072164949,5.82216494845361,1.09020618556701,3.08505154639175,0,1.22938144329897,0.811855670103093,0.974226804123711,0.742268041237113,2.38917525773196,6.03092783505155,2.41237113402062,3.96649484536083,"SF",18.9268292682927,0.496350364963504,0.310679611650485,0.611111111111111,1.34285714285714,0.554744525547445,0.566,0.00197,0.059,0.114,0.088,0.04,0.017,0.02,0.105,0.091
"23","Andrea Bargnani",7.21135646687697,15.8422712933754,2.66876971608833,3.23659305993691,17.2618296529968,1.58990536277603,3.9179810725552,5.50788643533123,1.02208201892744,3.46372239747634,0,0.227129337539432,1.47634069400631,0.511041009463722,0.170347003154574,0.908517350157729,-10.8454258675079,7.0410094637224,14.9337539432177,"C",11.7407407407407,0.455197132616487,0.1875,0.824561403508772,0.692307692307692,0.460573476702509,0.5,0.00204,0.049,0.124,0.086,0.048,0.003,0.011,0.079,0.232
"24","Andrew Bogut",4.33884297520661,6.91735537190083,0.595041322314049,1.2396694214876,9.29752066115702,3,9.19834710743802,12.198347107438,4.01652892561983,5.47933884297521,0.0991735537190083,0.818181818181818,2.05785123966942,2.82644628099174,0.0247933884297521,0.0247933884297521,9.81818181818182,4.31404958677686,6.89256198347107,"C",17.7073170731707,0.627240143369176,1,0.48,1.95180722891566,0.629032258064516,0.623,0.00179,0.095,0.26,0.183,0.148,0.011,0.058,0.216,0.114
"25","Andrew Goudelock",6.35294117647059,14.1176470588235,2.11764705882353,2.82352941176471,15.5294117647059,0.705882352941176,0.705882352941176,1.41176470588235,2.82352941176471,2.82352941176471,0,4.23529411764706,4.94117647058824,1.41176470588235,0.705882352941176,6.35294117647059,7.05882352941176,5.64705882352941,7.76470588235294,"PG",2.68421052631579,0.45,0.111111111111111,0.75,0.571428571428571,0.475,0.506,0.002,0.022,0.022,0.022,0.133,0.059,0.033,0.243,0.248
"26","Andrew Nicholson",6.40194884287454,13.5931790499391,2.23629719853837,2.85018270401949,16.8380024360536,1.49086479902558,7.32277710109622,8.8136419001218,1.09622411693057,3.02557856272838,0,0.438489646772229,1.79780755176614,0.964677222898904,1.79780755176614,4.99878197320341,1.49086479902558,4.6041412911084,8.59439707673569,"PF",10.0121951219512,0.470967741935484,0.359649122807018,0.784615384615385,0.609756097560976,0.537096774193548,0.567,0.0021,0.045,0.228,0.135,0.048,0.006,0.022,0.108,0.204
"27","Andrew Wiggins",7.51898734177215,16.379746835443,5.44303797468354,7.15189873417722,21.2025316455696,1.32911392405063,2.35443037974684,3.68354430379747,2.07594936708861,2.08860759493671,0.0126582278481013,0.987341772151899,2.30379746835443,0.582278481012658,0.721518987341772,2.40506329113924,-0.835443037974684,6.79746835443038,13.9746835443038,"SF",34.6829268292683,0.459041731066461,0.3,0.761061946902655,0.901098901098901,0.481066460587326,0.543,0.00437,0.044,0.075,0.06,0.101,0.014,0.013,0.106,0.272
"28","Anthony Bennett",3.38823529411765,11.4352941176471,3.81176470588235,4.23529411764706,11.8588235294118,2.54117647058824,7.2,9.74117647058824,0,3.38823529411765,0,2.11764705882353,1.69411764705882,0,1.27058823529412,5.92941176470588,-12.7058823529412,2.11764705882353,5.50588235294118,"PF",1.46551724137931,0.296296296296296,0.214285714285714,0.9,0,0.351851851851852,0.446,0.0037,0.083,0.228,0.157,0,0.031,0,0.113,0.192
"29","Anthony Brown",2.35570469798658,7.61073825503356,1.02684563758389,1.20805369127517,6.94630872483221,0.543624161073825,3.68456375838926,4.22818791946309,1.14765100671141,2.05369127516779,0,0.845637583892618,0.906040268456376,0.302013422818792,1.20805369127517,4.22818791946309,-2.11409395973154,1.14765100671141,3.38255033557047,"SF",7.26829268292683,0.30952380952381,0.285714285714286,0.85,1.26666666666667,0.388888888888889,0.427,0.00159,0.016,0.113,0.063,0.048,0.012,0.007,0.1,0.11
